100,かぐ（きんぞくせい）,きんぞく,きんぞく,
101,かぐ（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
102,がくしゅうつくえ（もくせい）,もやせるごみ,かねん,1mいないにこわして、がらす・きんぞくぶぶんははずしてください
103,がくしゅうつくえ（きんぞくせい）,きんぞく,きんぞく,
104,がくぶち（もくせい）,もやせるごみ,かねん,かなぐは「きんぞく」にだす
105,がくぶち（きんぞくせい）,きんぞく,きんぞく,
106,がくぶち（ぷらすちっくせい）,そのたぷらすちっく,たぷら,かなぐは「きんぞく」にだす
107,かさ,きんぞく,きんぞく,
108,かしかん,きんぞく,きんぞく,なかみをつかいきる
109,かしばこ（かみせい）,ざっし,ざっし,ひらいてざっしといっしょにひもでじゅうもんじにたばねる
110,かしばこ（きんぞくせい）,きんぞく,きんぞく,なかみをつかいきる
111,かしぶくろ（かみせい）,もやせるごみ,かねん,りさいくるがこんなんなため
112,かしぶくろ（ぷらすちっくせい）,ようきほうそうぷらすちっく,ようぷら,なかみをつかいきる
113,がすこんろ,きんぞく,きんぞく,でんちはとりのぞく
114,がすすとーぶ,きんぞく,きんぞく,ごむほーすは「かねん」にだす
115,がすぼんべ（えるぴーじー）,しではしゅうしゅうしません,しゅうしゅうしない,はんばいてんまたはせんもんのしょりぎょうしゃにしょりをいらいしてください。
116,かせっとぼんべ（たくじょうよう）,きけんごみ,危,なかみをつかいきって、あなをあけたばあいはきんぞくもか
117,かせっとてーぷ・けーす,そのたぷらすちっく,たぷら,
118,かせっとでっき,きんぞく,きんぞく,
119,かたろぐ,ざっし,ざっし,ひもでじゅうもんじにたばねる
120,かっぷらーめんのようき（ぷらすちっくせい）,ようきほうそうぷらすちっく,ようぷら,なかみをつかいきる。よごれがとりきれないばあいはもやせるごみ
121,かっぷらーめんのふた（かみせい）,もやせるごみ,かねん,
122,かっぷらーめんのふた（ぷらすちっくせい）,ようきほうそうぷらすちっく,ようぷら,
123,かつら（ひとけせい）,もやせるごみ,かねん,
124,かつら（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
125,かなづち（きんぞくせい）,きんぞく,きんぞく,
126,かなづち（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
127,かばん（ひかく・ぬのせい）,もやせるごみ,かねん,
128,かばん（びにーるせい）,そのたぷらすちっく,たぷら,
129,かびん（きんぞくせい）,きんぞく,きんぞく,
130,かびん（たけ・もくせい）,もやせるごみ,かねん,
131,かびん（とうじき・がらすせい）,もやせないごみ,ふねん,
132,かべがみ（かみせい）,もやせるごみ,かねん,
133,かべがみ（びにーるせい）,そのたぷらすちっく,たぷら,
134,かま,きんぞく,きんぞく,
135,しこっぷ・しさら,もやせるごみ,かねん,りさいくるがこんなんなため
136,かみそり・かわは,きんぞく,きんぞく,あきかんとうのちいさなきんぞくようきにいれてだす
137,かみのけ,もやせるごみ,かねん,
138,しばこ,ざっし,ざっし,いちへんがにぜろcmいじょうのもの　ひもでじゅうもんじにたばねる
139,かみぶくろ,ざっし,ざっし,びにーるひもとうはとりのぞき、ざっしといっしょにひもでじゅうもんじにたばねる
140,しやすり,もやせるごみ,かねん,
141,がむてーぷ,もやせるごみ,かねん,
142,かめら,きんぞく,きんぞく,でんちはとりのぞく
143,からーぼっくす（もくせい）,もやせるごみ,かねん,
144,からーぼっくす（ぷらすちっくせい）,そのたぷらすちっく,たぷら,
145,がらするい,もやせないごみ,ふねん,
146,かんきせん,きんぞく,きんぞく,
